review_content,simplified_review
看了FG這一期的雜誌後決定入手的，在雜誌的評比妝它有入選持久力TOP10中原價420，屈臣氏彩妝85折打完折後約357很後悔當初奇摩購物中心任選兩件499的時候沒有入手，因為這粉餅真的太好用了介紹：添加熊果素、鞣花酸、維他命C磷酸鈉鹽粉末於極細緻粉體中，上妝勻潤膚況同時注入亮白保養成分，網狀保濕粉體告別脫妝困擾絲緞般的柔霧質地，能呈現出持久的清爽妝感，若有似無的中度遮瑕力，使膚色均勻自然，讓肌膚一整天都維持在比裸妝更迷人的輕透妝效中粉餅只有兩個色號，分別是01淺陶色、02粉陶色我選了比較白的01淺陶色，說白但其實它也不白耶，算是蠻自然的一個色號粉餅的質地剛開始使用的時候我有點害怕因為我看到粉餅上有一顆一顆的粉末，而且體積還不小我就很怕它是不是質地不細緻，擦到臉上會結塊之類的結果事後證明我是白擔心了，因為它很服貼洗完臉做完基礎保養擦上KATE的極淨遮瑕防曬粉底液使用1028夢幻美姬極致柔白粉餅後 我真的很喜歡這個妝感真的像它的粉餅盒介紹的那樣，看起來很輕透但是又有中上的遮瑕力持妝度也不錯，外出一整天我都沒有補過妝，出油度也只是一點點而已(不過不知道是不是因為天氣熱，我上妝都會是先擦控油精華的關係)我覺得這款粉餅並不輸給專櫃貨，而且它的價格又很可愛是個用完後一定會回購的產品！,看了FG這一期的雜誌後決定入手的，在雜誌的評比妝它有入選持久力TOP10中原價420，屈臣氏彩妝85折打完折後約357很後悔當初奇摩購物中心任選兩件499的時候沒有入手，因為這粉餅真的太好用了介紹：添加熊果素、鞣花酸、維他命C磷酸鈉鹽粉末於極細緻粉體中，上妝勻潤膚況同時注入亮白保養成分，網狀保濕粉體告別脫妝困擾絲緞般的柔霧質地，能呈現出持久的清爽妝感，若有似無的中度遮瑕力，使膚色均勻自然，讓肌膚一整天都維持在比裸妝更迷人的輕透妝效中粉餅只有兩個色號，分別是01淺陶色、02粉陶色我選了比較白的01淺陶色，說白但其實它也不白耶，算是蠻自然的一個色號粉餅的質地剛開始使用的時候我有點害怕因為我看到粉餅上有一顆一顆的粉末，而且體積還不小我就很怕它是不是質地不細緻，擦到臉上會結塊之類的結果事後證明我是白擔心了，因為它很服貼洗完臉做完基礎保養擦上KATE的極淨遮瑕防曬粉底液使用1028夢幻美姬極致柔白粉餅後 我真的很喜歡這個妝感真的像它的粉餅盒介紹的那樣，看起來很輕透但是又有中上的遮瑕力持妝度也不錯，外出一整天我都沒有補過妝，出油度也只是一點點而已(不過不知道是不是因為天氣熱，我上妝都會是先擦控油精華的關係)我覺得這款粉餅並不輸給專櫃貨，而且它的價格又很可愛是個用完後一定會回購的產品！
小屈購入小巧方便還附粉撲使用時間可以很久價格便宜買透明款不影響妝感,小屈購入小巧方便還附粉撲使用時間可以很久價格便宜買透明款不影響妝感
價格很便宜所以買來試試粉質很細控油程度普通 但是也不會太乾以它的價格來說我覺得還不錯會考慮回購不過還是想試試沒用過的缺點是粉撲不太好用,價格來說我覺得還不錯會考慮回購不過還是想試試沒用過的缺點是粉撲不太好用
也是很久以前買的，大地雷，顏色太黑了，用一次(只上半臉)就被我送人了，但是我朋友表示很好用、很控油，還有當時的版本設計不太好，粉撲就是個爛棉片，好像還沒隔層的樣子。更新，有買過新的版本透明色，一樣不推，粉粗易斑駁。,也是很久以前買的，大地雷，顏色太黑了，用一次(只上半臉)就被我送人了，但是我朋友表示很好用、很控油，還有當時的版本設計不太好，粉撲就是個爛棉片，好像還沒隔層的樣子。更新，有買過新的版本透明色，一樣不推，粉粗易斑駁。
外包裝很可愛，整個少女心，便宜方便好攜帶，裡面附有一個小海綿，質地清爽，我習慣薄薄上一層，定妝效果很好兼具控油，一整天下來不脫妝！值得回購,效果很好兼具控油，一整天下來不脫妝！
買這個主要拿來打亮和陰影做修飾，還有付一塊海綿很貼心。我的皮膚偏白，白色的色塊很適合打亮、很自然服貼，沒有厚重感，偏黑的色塊有修飾效果。,買這個主要拿來打亮和陰影做修飾，還有付一塊海綿很貼心。我的皮膚偏白，白色的色塊很適合打亮、很自然服貼，沒有厚重感，偏黑的色塊有修飾效果。
"便宜好用,粉細不會越補越厚,也不暗沉,服貼度好,不會結塊,油田救星","便宜好用,粉細不會越補越厚,也不暗沉,服貼度好,不會結塊,油田救星"
"回購率 0%這是我買的第一款氣墊原本不想分享心得....但還是分享一下 給有興趣的人參考~~一拍上氣墊,顏色很ok但完全濕潤.....我的肌膚完全無法吸收!!!!WTF......這產品...太不適合在台灣出現了吧.....這樣子....應該就沒其他好說的了....抱歉 我失望了1028氣墊粉餅....","第一款氣墊原本不想分享心得但還是分享一下 給有興趣的人參考一拍上氣墊,顏色很ok但完全濕潤我的肌膚完全無法吸收WTF這產品太不適合在台灣出現了吧這樣子應該就沒其他好說的了抱歉 我失望了1028氣墊粉餅"
當初是看它超吸油而買的真的吸油效果不錯遮毛孔的效果也很好!!圖片是我用的第一顆蜜粉餅已用到鐵皮~~重點他小小一顆攜帶很方便也有附小粉撲妝效也很好以回購第二顆!!!,真的吸油效果不錯遮毛孔的效果也很好圖片是我用的第一顆蜜粉餅已用到鐵皮重點他小小一顆攜帶很方便也有附小粉撲妝效也很好以回購第二顆
雖說姊手邊的氣墊粉餅已經多到要送人了，但一看到是1028我無法忽略阿！自從上次用了它們家的絲襪粉餅後，對於它們家的氣墊底妝整個很有信心，不用的話心都癢癢的，有點對不起自己的肌膚XD……這次除了體驗1028的新品控油柔焦氣墊粉餅外，還有它們家的微光持妝保濕粉餅。先來分享新品控油柔焦氣墊粉餅的使用心得……1028這款號稱「持妝輕氣墊」的控油柔焦氣墊粉餅的外觀跟上次的絲襪粉餅差不多，都是粉粉的風格～不過可能是因為這款是夏天推出的關係，水藍色的盒身感覺更清新又有質感。既然主打夏天能使用的氣墊粉餅，清爽不黏膩的質地是一定要的啦~控油柔焦氣墊粉餅的質地跟之前的絲襪粉餅一樣輕盈，用起來不會悶悶的，雖然這款主打控油，但以我這種混合偏油肌夏天要完全控油是不太可能的，所以我夏天用氣墊底妝一定會搭配控油蜜粉，只是這款不像很多氣墊粉餅到了夏天就會爆走大出油脫妝～它的持妝度以氣墊粉餅來說表現算很好，即使稍為脫妝膚色也不至於泛黃，之前用過一些氣墊粉餅，只要一脫妝，膚色都會很容易泛黃，氣色會變很差。我想它持妝的秘訣就是有添加許多保濕成份，一整天下來肌膚都還是蠻水潤的，保濕度還不賴~至於粉質細緻度我覺得還OK～但沒有絲襪粉餅來的好，我的鼻翼周遭的毛孔比較囂張，要多推幾下才不會卡粉，個人建議鼻翼的部份可以搭配它們家的粉底刷，妝感會更服貼唷～此外，它SPF 23 PA++的防曬係數讓上妝同時再次給予基礎防禦。既然是粉底很多人都會著重遮瑕度對吧？！這款的遮瑕度以氣墊底妝來說算中上，我選擇的色號是明亮膚色，用起來不死白，呈現出自然的好氣色，正好這幾天長了一顆大痘痘，它算是可以遮個六七成左右，而且妝感還是很輕透，一點都不厚重。1028這款控油柔焦氣墊粉餅我個人覺得是偏水亮的自然光澤感，如果是偏愛柔焦霧感的朋友我還是比較推絲襪粉餅，整體來說1028控油柔焦氣墊粉餅的CP質很高，很值得推薦給小資女唷～??同樣是1028它們家的底妝—微光持妝保濕粉餅—搭配簡約的輕時尚版的粉餅盒，粉餅盒的上層是粉蕊，下層則是柔軟的粉撲。微光持妝保濕粉蕊有兩層，左邊的A層是雪絨般的保濕粉質，右邊的B層則有打亮的效果。我先單用A層測試半張臉，它呈現出來的妝感是無暇的陶瓷肌，遮瑕度蠻好的，而且非常輕薄。接著將整臉都補拍上粉餅，這款的粉質非常細緻，可以修飾毛孔，尤其是鼻翼可怕的毛孔，它都能處理得服服貼貼der！！！如果想要提升整張臉的立體感，可以用粉撲的一角沾取B層來打亮，在臉部的凸處打亮，像是顴骨、額頭、鼻樑、下巴……這款所打造出來的光澤感非常非常的低調，如果你是喜歡那種很閃亮超明顯的光澤感，那恐怕不適合用這款，畢竟人家品名就已經是微光持妝保濕粉餅了呀！！！所以我連拍照都要抓非常多角度，甚至還要圈起來才看的出光澤感。除此之外，這款也可以混合A+B層，讓整臉的有微微的光澤感，但一樣很低調光澤感不明顯……至於控油的部份我覺得表現沒有非常出色，不過它輕薄且高遮瑕度的妝感還蠻值得推薦的，以上心得供大家參考囉～,氣墊粉餅已經多到要送人了，效果。，使用心得……1028這款號稱「持妝輕氣墊」的控油柔焦氣墊粉餅的外觀跟上次的絲襪粉餅差不多，都是粉粉的風格～不過可能是因為這款是夏天推出的關係，水藍色的盒身感覺更清新又有質感。
夏天一到我就不太敢用氣墊粉餅，因為會很黏膩、悶熱、脫妝，但氣墊粉餅又真的很方便，夏天也好想用氣墊粉餅！沒關係，妳還有1028持妝輕氣墊(?? ??_??)?控油柔焦氣墊粉餅有兩個色號，01明亮膚和02自然膚，SPF23、PA++，是韓國製造的耶。有質感的Tiffany色外觀?有貼心小鏡子，粉撲超可愛(?>ω<)?第一次使用前會有張貼紙保護。貼紙撕下後即可用氣墊粉撲直接沾取粉底液。於基礎保養隔離後用粉撲輕壓粉餅，輕按額頭，雙頰，鼻頭，下巴五個點後，均勻輕拍全臉。先使用半張臉。1028控油柔焦氣墊粉餅妝感很自然、輕透，遮瑕力很好，柔化細緻臉部所有瑕疵、修飾毛孔。完妝。雖是柔焦氣墊粉餅，但妝感我覺得是偏水光肌，肌膚會有很漂亮的光澤，上妝後肌膚清爽不黏、不厚重、不卡粉，而且因為添加了玻尿酸、棉籽糖、維生素B5等多重保濕成分，同時長效保濕，持續服貼持久不脫妝。另外一個在夏天大家也很關注的就是控油度，1028控油柔焦氣墊粉餅獨創控油淨化因子能抑制吸附毛孔多餘油脂，還特別添加金縷梅能夠收斂瞬隱毛孔、搭配山茶花萃取保濕鎖水，共同維持油水平衡，因此控油度很棒，擺脫了夏天不適合用氣墊粉餅的魔咒，讓我在夏天重新愛上氣墊?,很方便，使用前會有張貼紙保護。
這幾個月以來用了好多氣墊粉餅，我一定要幫彩妝界的研發人員拍拍手，因為從我用的第一個氣墊粉餅Missha，一直到今天要推薦的1028彈力保濕絲襪粉餅，真的是一個比一個更好用，不曉得是不是因為全球暖化的關係，現在的氣墊粉餅做的越來越清爽不濕黏，連我這種混合偏油肌都敢大方的使用了。?1028的彈力保濕絲襪粉餅主打今年秋冬最流行的絲霧光感，還記得氣墊粉餅剛出來的時候，大家都追求超水亮的光澤，不過現在反而變成低調的霧面光澤感比較流行，唉...時尚流行就跟我的心情一漾起伏不定的，一直變來變去，都快把我的荷包榨乾了1028的這款彈力保濕絲襪粉餅，光是外盒就會讓很多小女生尖叫了，粉粉粉超粉，Hello Kitty迷應該會很喜歡，我自己在整理產品照的時候，也忍不住多看了好幾眼> <…??打開盒子除了氣墊粉撲之外，可以看到這款產品主打的特色—彈力絲網介面，這可是韓國正流行的新型態氣墊粉餅，跟以往的氣墊粉餅是不同的，氣墊是藉由海綿乘載粉底，而絲襪粉餅內部是一塊最新劑型一拍就出水的粉底霜，它比較好調節用量。?我先使用在半張臉，在上這款粉餅前，我有先擦無色的隔離霜，所以臉上的一些斑點、泛紅還有毛孔問題都還是蠻明顯的。?接著將氣墊粉撲用畫圓的方式輕輕沾取粉底，然後在不同位置由內而外均勻輕拍，這款的氣墊粉撲很Q彈，我覺得用輕拍的方式比較適合，用推的效果反而沒那麼好。?它的妝感非常輕透，拍完半張臉可以發現左右兩邊不會有太明顯的色差，但氣色好很多，黑眼圈跟斑點都有稍微遮瑕到，而且有自然的光澤，微微的柔焦效果。?再來就把另一半張臉也補上去，輕拍粉底的過程超迅速，因為它的粉質是我目前用過所有的氣墊底妝裡面最細緻的一款，以往我使用氣墊底妝都會非常困擾，雖然水亮光感效果真的超美，但近看會發現毛孔問題反而變明顯。?但這款完全沒有這個問題，它反而會幫我修飾毛孔，它最令我讚賞的就是連我難搞的鼻翼都可以讓它服服貼貼，因為之前用過太多底妝對於臉頰都還好，但鼻翼的毛孔、泛紅還有乾燥問題都無法解決，1028彈力保濕絲襪粉餅對於這些肌膚問題都可以輕鬆解決唷！?而且1028的彈力保濕絲襪粉餅保濕超有感，它含有維他命B3和棉子糖保濕成分，我用了一整天下來，因為本身T字比較油，所以難免會有點脫妝，但它不是像土石流那種脫妝喔！只是原本微微的粉感完全消失，但肌膚看起來跟摸起來都還是非常潤澤，有給它保濕到！?雖然它主打微光霧面妝感，但我個人用了覺得它介於霧光柔焦感跟水亮感中間，尤其是臉部稍微出油後，水亮的光澤會更明顯，但我就愛它這種妝感，它會讓我的肌膚看起來非常彈潤。?1028的彈力保濕絲襪粉餅跟很多氣墊底妝比起來是真的比較清爽不黏膩，我覺得它雖然是開架的產品，但效果真的不會輸給專櫃的產品耶！除非之後找到比它更好用的不然回購率絕對百分百，真心推薦給大家唷！,研發人員拍拍手，效果反而沒那麼好。，使用了。
"哈哈~ ?沒想到我會這麼快又在寫底妝文~其實前陣子買的也還沒有用完,但是女人啊....購物慾總是野火遼源啊~就在每天例行性的滑FB被1028給燒到的,而且看到1028還有拍影片實際用絲襪粉餅上妝的樣子,看了就覺得,就是我的菜非它不可啊~~~於是呢~ ?剛好在上週去逛周年慶的時候看到tomod's有77折的活動,立馬殺去買~ ?結果還不小心又買了唇蜜....啊哈~ ?等下次我再來分享唇彩!其實,有時候買彩妝就是一種失控,因為有的可能不夠適合自己,但是有時候還是會因為它的外盒甚至是品牌,而腦波弱的買了....會這麼說就是因為我前陣子買的底妝因為最近天氣太乾冷了,變得肌膚超級乾的,完全不適合冬天用啊....(哭哭但是....我這次買了1028彈力保濕絲襪粉餅我真的覺得買對了~因為它符合我的需求,保濕和遮瑕~??接下來先介紹一下產品唷: (參考自urcosme一拍宛如穿上絲襪般，輕薄、透光、完美無瑕！底妝如絲襪般輕薄透卻具隱瑕力，彈力粉體緊緊包覆保濕精華，粉體完美貼合肌膚，仿若勻?膚質乍現，輕輕一按壓像出水般的彈潤，讓肌膚若隱若現透出微光，極低調卻又優雅，讓妳再次遇見「絲霧光感」！SPF30 PA++，隨時給肌膚日常防護所需。共2色#明亮膚#自然膚?接下來不囉嗦開始來使用絲襪粉餅囉~?首先是絲襪粉餅的外包裝唷~整個是粉色搭配白色的感覺很甜美呢~迫不及待想拆封了~接下來是打開之後裡面會有一個粉餅盒子和一個蕊心,所以要自己裝進去唷~ ?之前買的氣墊粉餅很多都已經是裝在盒子裡面了~??這個是盒子打開的樣子,裡面也有鏡子但是有貼一層薄膜,要記得撕下來唷~~~?這個是蕊心~ 打開之後裡面有配上一個專屬粉撲,一樣是粉色的超可愛!!!?然後是組裝完成的樣子~整個少女心大爆發阿!!!這個是蕊心打開的樣子,有一層薄膜保護著不怕粉底液乾掉!粉撲的背面是米白色的唷~ ?摸起來材質蠻軟的!使用起來蠻舒服的也很好上妝~接下來就是最酷的地方了,因為這款乍看之下像氣墊粉餅,但它是絲襪粉餅~有一層像絲襪的材質在上面控制著粉底液的流量,這樣每次上妝的時候才不會不小心壓太多粉底液出來,每次的流量都會很剛好唷~哈哈~ 因為蜜拉還捨不得用新的粉撲,於是拿舊粉撲出來用一下!一樣輕輕按壓在輕拍在臉上就可以囉~這個絲襪粉餅按壓的時候超級柔軟的,輕壓就好不要太大力喔~先試在手上的妝效給大家看一下,右半邊有上,左半邊沒上~這款呈現的是比較絲霧光感的底妝,遮瑕度蠻不錯的,保濕效果也很好~這個是上整個手之後的樣子,感覺它的光澤度很美,可是又不是超級高調的那種光澤,有點內斂像珍珠般的光澤感唷~蜜拉很喜歡?接下來試臉部囉~先上在右半邊比較一下,因為蜜拉選的是自然色,所以不會到很白皙,但看的出來黑眼圈的部分有稍微修飾到囉~這個是上完整張臉的樣子,膚色比較提亮了而且整個臉是有光澤感的,但是比較霧面光澤不會到太油亮,最近蜜拉都喜歡霧面光澤感的底妝~?然後是完妝照囉~蜜拉只有在額頭和髮際線上一點蜜粉,其他只有用絲襪粉餅唷~後面出門補妝我也是用絲襪粉餅補,補完的妝感很不錯跟剛上妝一樣服貼,保濕度和遮瑕度我個人覺得表現的蠻不錯的!?再額外加一張室外光線的照片給大家參考,在外面妝感也很自然好看不會到太死白,而且好像是天生好膚質的感覺呢~總之蜜拉超愛這款的!!!我覺得等用完應該會再跑去買蕊心唷~~~??總評比:乾性肌的美女們這款蜜拉蠻推的唷~ ?因為我就是乾性肌使用起來覺得還蠻保濕的,但又不會因為保濕而感覺到黏膩感,遮瑕度我也覺得蠻夠的畢竟它不會讓妝感太重,所以我也不會太強求遮瑕拉~ ?夠用就好XD然後喜歡霧面光澤感的美女們我想妳們也會喜歡的??滿分五星光澤感:?保濕度:遮瑕力:持久度:清透度:黏膩度:","也還沒有用完,但是女人啊購物慾總是野火遼源啊~就在每天例行性的滑FB被1028給燒到的,而且看到1028還有拍影片實際用絲襪粉餅上妝的樣子,看了就覺得,就是我的菜非它不可啊於是呢~ ?剛好在上週去逛周年慶的時候看到tomod's有77折的活動,立馬殺去買~ ?結果還不小心又買了唇蜜啊哈~ ?等下次我再來分享唇彩!其實,有時候買彩妝就是一種失控,因為有的可能不夠適合自己,但是有時候還是會因為它的外盒甚至是品牌,而腦波弱的買了會這麼說就是因為我前陣子買的底妝因為最近天氣太乾冷了,變得肌膚超級乾的,完全不適合冬天用啊(哭哭但是我這次買了1028彈力保濕絲襪粉餅我真的覺得買對了~因為它符合我的需求,保濕和遮瑕接下來先介紹一下產品唷: (參考自urcosme一拍宛如穿上絲襪般"
夏天除了熱最討厭的就是出油了每次畫好美美的妝容不到半天出油後自動呈現油畫效果遠看就算了? 近看實在嚇人所以有時候寧願單擦個潤色隔離還比較好處理但~總是有些場合要上妝這時候就要靠1028 超吸油蜜粉餅來掌控全場將出油這不可抗拒之天然災害的受損降至最低<粧廣第104050806號>相較於蜜粉蜜粉餅攜帶方便是我化妝包必帶品項之一1028 超吸油蜜粉餅是使用礦物粉體粉質細緻柔滑上過粉底液後使用粉撲沾取蜜粉輕撲在臉上的T字部位一擦上去馬上呈現消光狀態霧面妝感讓毛孔都不明顯了而且特別添加了洋甘菊和蒲公英成分上妝同時也保養了肌膚吸油&持妝都很夠力大半天下來臉上也還是清爽無油光最令我滿意的是不會暗沉反黑這點就大勝許多專櫃品了!,就是出油了每次畫好美美的妝容不到半天出油後自動呈現油畫效果遠看就算了? 近看實在嚇人所以有時候寧願單擦個潤色隔離還比較好處理但~總是有些場合要上妝這時候就要靠1028 超吸油蜜粉餅來掌控全場將出油這不可抗拒之天然災害的受損降至最低<粧廣第104050806號>相較於蜜粉蜜粉餅攜帶方便是我化妝包必帶品項之一1028 超吸油蜜粉餅是使用礦物粉體粉質細緻柔滑上過粉底液後使用粉撲沾取蜜粉輕撲在臉上的T字部位一擦上去馬上呈現消光狀態霧面妝感讓毛孔都不明顯了而且特別添加了洋甘菊和蒲公英成分上妝同時也保養了肌膚吸油&持妝都很夠力大半天下來臉上也還是清爽無油光最令我滿意的是不會暗沉反黑這點就大勝許多專櫃品了!
之前出KITTY版本時失心瘋買了一紅一藍覺得價格很便宜小小一個隨身補妝很方便KITTY造型拿出來補妝心情會很好粉蠻細的補妝後妝感自然不厚重控油效果還可以如果有特價可以買來試試,補妝後妝感自然不厚重控油效果還可以如果有特價可以買來試試
因為缺少一個修容餅，加上愛國心發作想支持一下國產貨，再加上?1028 的超模V臉粉餅正好有打折又有送粉餅盒，所以在86小鋪下手，買了一個超模V臉粉餅。因為是網路購物，無法試色，加上我本人喜歡白皙的妝感，所以選了一個淺陶色。殊不知，選錯色正是一切錯誤的開始啊。一擦上臉我就知道慘了，整整白了一個色號，只好拿粉撲推掉。粉撲一面是絨毛面，一面是海綿面。我拿絨毛面用畫圓的方式在臉上畫圓，想弄掉多餘粉未並打磨。結果不知是我太用力了，還是啥的，那絨毛也跟著磨掉了，臉上莫名的多了好些絨毛屑屑，嚇的我幹快換另外一面用。顏色過白也就算了，重點是粉體對我而言太乾，一上臉就覺得乾的不舒服，脫皮的部份變得很明顯；可能是因為沒擦云的關係，粉卡在毛孔裡，白白的一點一點，粉醜。修容的部份我是用刷子刷的，感覺還好，不過飛粉的很嚴重。第二次使用時我拿131刷子刷上去的，比之前好一點，但還是太白了，而且脫皮跟粉卡毛孔的情況沒改善多少。看來我只能把它當蜜粉餅使用了，當粉餅使用的妝效不好。我在效果欄位選了很久，始終找不到一項是可以勉強符合它的。若真要選的話，大概就只有便宜二字吧。,超模V臉粉餅正好有打折又有送粉餅盒，效果欄位選了很久，始終找不到一項是可以勉強符合它的。，使用時我拿131刷子刷上去的，比之前好一點，但還是太白了，而且脫皮跟粉卡毛孔的情況沒改善多少。
ㄜ.... 其實，我當初會買這個是因為她的包裝很可愛，但買了之後，我覺得她有點不適合我，除了控油的能力還算可以之外，那個粉撲，我真的覺得是來玩家家酒的 = =而且有的時候我用，她反而讓我臉的缺點更加明顯，真的不知道我到底該把剩下那一大塊用去哪裡...,ㄜ.... 其實，我當初會買這個是因為她的包裝很可愛，但買了之後，我覺得她有點不適合我，除了控油的能力還算可以之外，那個粉撲，我真的覺得是來玩家家酒的 = =而且有的時候我用，她反而讓我臉的缺點更加明顯，真的不知道我到底該把剩下那一大塊用去哪裡...
"老天~這是開架式產品我最喜歡的""超吸油""""蜜粉! 前前後後舊包裝買了3盒新的超可愛hellokitty限量包裝也用了2盒!!!!! 所以我總共買過5盒!!!!!!我真的超愛~非常愛這款~(比起惹我吸油蜜粉我更愛這盒阿!!)粉質很細~鋪上他立馬吸油~ 但又不厚重~但還是必須補妝哦!只是~我好像用蠻快的 有時候不小心刷子就會繞個好幾圈才願意拿起來蓋在臉上XD(畢竟我的臉比較大)我每一盒用到最後都只剩細細外圈一圈 中間永遠空心 然後他又會不知不覺自己斷掉然後就碎掉~(但這也是用到剩最後一咪咪才會這樣? 這是她的小缺點之一呀~~~~~~ 還有一個大重點! 這款 附的粉撲不好用!不好用!真的不是很好用! (很重要所以說三次!)拿到他我一定先把它拿出來? 換上個人愛用的蜜粉刷!~不過還是沒有澆熄我對這款蜜粉的愛!!!舊款跟新款價錢有差 好像也買不到舊款了 因為我用太兇了所以現在先忍住沒買他~畢竟我還是個小資女孩呀! (舉手投降)好攜帶~不易卡粉~吸油~自然~""","""超吸油""""蜜粉! 前前後後舊包裝買了3盒新的超可愛hellokitty限量包裝也用了2盒 所以我總共買過5盒我真的超愛~非常愛這款~粉質很細~鋪上他立馬吸油~ 但又不厚重~但還是必須補妝哦!只是~我好像用蠻快的 有時候不小心刷子就會繞個好幾圈才願意拿起來蓋在臉上XD我每一盒用到最後都只剩細細外圈一圈 中間永遠空心 然後他又會不知不覺自己斷掉然後就碎掉~拿到他我一定先把它拿出來? 換上個人愛用的蜜粉刷不過還是沒有澆熄我對這款蜜粉的愛舊款跟新款價錢有差 好像也買不到舊款了 因為我用太兇了所以現在先忍住沒買他~畢竟我還是個小資女孩呀! 好攜帶~不易卡粉~吸油~自然~"""
當初會看上這個是因為包裝可愛容量小攜帶方便 價格又實惠就趁著打折時買了!有時候到下午或是傍晚臉出油的時候我會先用面紙灑一點點水按壓全臉尤其是出油的地方然後再用這個補妝覺得有遮瑕修飾毛孔的功能非常控油 用量很省 而且是我喜歡的自然的妝感硬要說它的缺點的話我覺得有兩個1.就是她的粉撲很扁也沒有緞帶所以在拿的時候要非常小心!2.沒有防曬系數對於我這種很會長雀斑的皮膚來說真的是很大的缺點不過它其它方面真的很優秀價格又非常實惠所以我還是非常愛它的!隨身攜帶著!推推喔~,時候我會先用面紙灑一點點水按壓全臉尤其是出油的地方然後再用這個補妝覺得有遮瑕修飾毛孔的功能非常控油 用量很省 而且是我喜歡的自然的妝感硬要說它的缺點的話我覺得有兩個1.就是她的粉撲很扁也沒有緞帶所以在拿的時候要非常小心!2.沒有防曬系數對於我這種很會長雀斑的皮膚來說真的是很大的缺點不過它其它方面真的很優秀價格又非常實惠所以我還是非常愛它的!隨身攜帶著!推推喔~
"這款蜜粉餅非常可愛而且攜帶方便,只是容量蠻小的每天用很快就使用完了,非常控油不過對於我這種乾肌使用有點覺得太乾了,可能比較不適合我的肌膚吧!而且它裡面附的粉撲很小很難用,要額外用自己的粉撲比較好用,不過它的粉質蠻細緻的,也很好上妝~~~如果是屬於油肌的女孩們這塊應該對於你們蠻不錯的^^有空可以來我的部落格逛逛,有分享很多美妝保養~~~http://mira1991.pixnet.net/blog","每天用很快就使用完了,非常控油不過對於我這種乾肌使用有點覺得太乾了,可能比較不適合我的肌膚吧!而且它裡面附的粉撲很小很難用,要額外用自己的粉撲比較好用,不過它的粉質蠻細緻的,也很好上妝如果是屬於油肌的女孩們這塊應該對於你們蠻不錯的^^有空可以來我的部落格逛逛,有分享很多美妝保養http://mira1991.pixnet.net/blog"
被朋友燒到，於是趁小屈特價149的時候購入了使用起來真的非常控油我都是用壓的壓在出油的鼻子和額頭附鏡子補妝很方便小小一顆攜帶也非常方便雖然容量不大但是感覺可以用超久唯一的遺憾是那片薄薄的粉撲我拿去洗過一次就掀開分成兩層了現在還勉強用著，因為不好找到這麼小又這麼扁的來替補阿~~~1028的產品大多便宜又好用，滿值得的!,時候購入了使用起來真的非常控油我都是用壓的壓在出油的鼻子和額頭附鏡子補妝很方便小小一顆攜帶也非常方便雖然容量不大但是感覺可以用超久唯一的遺憾是那片薄薄的粉撲我拿去洗過一次就掀開分成兩層了現在還勉強用著
"這只有小小一盒(4.6g)(很容易遺失在房間角落XD)不過蠻好用的,價格也很OK因為本人極度厭惡到了下午臉大爆油的窘境所以上完粉底之後我會先用這款蜜粉餅當第一層(用內附的粉撲按壓,幫助服貼)之後再上第二層適合自己膚色的蜜粉(用蜜粉刷,用量省也避免一次上太多粉)早上8點上妝到晚上7點下班回家中途沒有補妝(有夠懶)雖然說無法讓臉看起來完全沒出油但感覺臉油到可以反光的狀況大大減少不怎麼掉粉,也不會有厚重的感覺一整個GOOOD!!眼皮和T字部位會出油的水兒們可以試試唷~",",價格也很OK因為本人極度厭惡到了下午臉大爆油的窘境所以上完粉底之後我會先用這款蜜粉餅當第一層之後再上第二層適合自己膚色的蜜粉早上8點上妝到晚上7點下班回家中途沒有補妝雖然說無法讓臉看起來完全沒出油但感覺臉油到可以反光的狀況大大減少不怎麼掉粉,也不會有厚重的感覺一整個GOOOD眼皮和T字部位會出油的水兒們可以試試唷~"
